"";"time";"count"
"37272";2015-06-13 22:11:00;1409
"37273";2015-06-13 22:14:00;2450
"37274";2015-06-13 22:17:00;1700
"37275";2015-06-13 22:20:00;1302
"37276";2015-06-13 22:23:00;1161
"37277";2015-06-13 22:26:00;1109
"37278";2015-06-13 22:29:00;954
"37279";2015-06-13 22:32:00;937
"37280";2015-06-13 22:35:00;2099
"37281";2015-06-13 22:38:00;1310
"37282";2015-06-13 22:41:00;930
"37283";2015-06-13 22:44:00;830
"37284";2015-06-13 22:47:00;929
"37285";2015-06-13 22:50:00;891
"37286";2015-06-13 22:53:00;783
"37287";2015-06-13 22:56:00;788
"37288";2015-06-13 22:59:00;690
"37289";2015-06-13 23:01:00;777
"37290";2015-06-13 23:04:00;767
"37291";2015-06-13 23:07:00;686
"37292";2015-06-13 23:10:00;640
"37293";2015-06-13 23:13:00;719
"37294";2015-06-13 23:16:00;697
"37295";2015-06-13 23:19:00;840
"37296";2015-06-13 23:22:00;776
"37297";2015-06-13 23:25:00;683
"37298";2015-06-13 23:28:00;664
"37299";2015-06-13 23:31:00;609
"37300";2015-06-13 23:34:00;612
"37301";2015-06-13 23:37:00;692
"37302";2015-06-13 23:40:00;667
"37303";2015-06-13 23:43:00;618
"37304";2015-06-13 23:46:00;597
"37305";2015-06-13 23:49:00;613
